x,y
0.654,0.111
0.655,0.092
0.656,0.053
0.657,0.081
0.658,0.084
0.659,0.047
0.66,0.051
0.661,0.043
0.662,0.006
0.663,0.002
0.664,-0.001
0.665,-0.045
0.666,-0.043
0.667,-0.058
0.668,-0.071
0.669,-0.071
0.67,-0.085
0.671,-0.112
0.672,-0.159
0.673,-0.19
0.674,-0.234
0.675,-0.256
0.676,-0.286
0.677,-0.301
0.678,-0.311
0.679,-0.345
0.68,-0.363
0.681,-0.396
0.682,-0.427
0.683,-0.432
0.684,-0.443
0.685,-0.454
0.686,-0.473
0.687,-0.503
0.688,-0.512
0.689,-0.531
0.69,-0.534
0.691,-0.536
0.692,-0.561
0.693,-0.58
0.694,-0.595
0.695,-0.601
0.696,-0.616
0.697,-0.625
0.698,-0.618
0.699,-0.607
0.7,-0.609
0.701,-0.621
0.702,-0.611
0.703,-0.592
0.704,-0.571
0.705,-0.558
0.706,-0.546
0.707,-0.529
0.708,-0.502
0.709,-0.479
0.71,-0.468
0.711,-0.436
0.712,-0.419
0.713,-0.421
0.714,-0.415
0.715,-0.389
0.716,-0.351
0.717,-0.337
0.718,-0.344
0.719,-0.336
0.72,-0.306
0.721,-0.31
0.722,-0.305
0.723,-0.267
0.724,-0.259
0.725,-0.256
0.726,-0.23
0.727,-0.234
0.728,-0.243
0.729,-0.21
0.73,-0.216
0.731,-0.236
0.732,-0.216
0.733,-0.222
0.734,-0.227
0.735,-0.23
0.736,-0.242
0.737,-0.219
0.738,-0.207
0.739,-0.224
0.74,-0.213
0.741,-0.189
0.742,-0.211
0.743,-0.236
0.744,-0.216
0.745,-0.198
0.746,-0.2
0.747,-0.197
0.748,-0.193
0.749,-0.193
0.75,-0.206
0.751,-0.217
0.752,-0.205
0.753,-0.2
0.754,-0.205
0.755,-0.208
0.756,-0.226
0.757,-0.215
0.758,-0.191
0.759,-0.215
0.76,-0.225
0.761,-0.223
0.762,-0.232
0.763,-0.224
0.764,-0.201
0.765,-0.182
0.766,-0.193
0.767,-0.201
0.768,-0.199
0.769,-0.193
0.77,-0.203
0.771,-0.205
0.772,-0.197
0.773,-0.207
0.774,-0.212
0.775,-0.21
0.776,-0.214
0.777,-0.21
0.778,-0.222
0.779,-0.224
0.78,-0.192
0.781,-0.201
0.782,-0.205
0.783,-0.199
0.784,-0.205
0.785,-0.201
0.786,-0.193
0.787,-0.188
0.788,-0.203
0.789,-0.193
0.79,-0.196
0.791,-0.204
0.792,-0.193
0.793,-0.208
0.794,-0.206
0.795,-0.204
0.796,-0.206
0.797,-0.201
0.798,-0.199
0.799,-0.198
0.8,-0.195
0.801,-0.189
0.802,-0.187
0.803,-0.181
0.804,-0.191
0.805,-0.203
0.806,-0.207
0.807,-0.211
0.808,-0.216
0.809,-0.227
0.81,-0.206
0.811,-0.184
0.812,-0.165
0.813,-0.179
0.814,-0.198
0.815,-0.179
0.816,-0.186
0.817,-0.194
0.818,-0.2
0.819,-0.195
0.82,-0.189
0.821,-0.201
0.822,-0.203
0.823,-0.167
0.824,-0.154
0.825,-0.169
0.826,-0.16
0.827,-0.161
0.828,-0.172
0.829,-0.174
0.83,-0.166
0.831,-0.164
0.832,-0.148
0.833,-0.151
0.834,-0.166
0.835,-0.175
0.836,-0.185
0.837,-0.178
0.838,-0.178
0.839,-0.169
0.84,-0.159
0.841,-0.148
0.842,-0.149
0.843,-0.157
0.844,-0.139
0.845,-0.13
0.846,-0.129
0.847,-0.136
0.848,-0.149
0.849,-0.137
0.85,-0.13
0.851,-0.131
0.852,-0.127
0.853,-0.124
0.854,-0.117
0.855,-0.114
0.856,-0.112
0.857,-0.104
0.858,-0.104
0.859,-0.102
0.86,-0.093
0.861,-0.089
0.862,-0.085
0.863,-0.068
0.864,-0.061
0.865,-0.088
0.866,-0.086
0.867,-0.074
0.868,-0.071
0.869,-0.061
0.87,-0.065
0.871,-0.061
0.872,-0.059
0.873,-0.055
0.874,-0.058
0.875,-0.056
0.876,-0.053
0.877,-0.064
0.878,-0.057
0.879,-0.05
0.88,-0.038
0.881,-0.042
0.882,-0.021
0.883,0.025
0.884,0.017
0.885,-0.017
0.886,-0.038
0.887,-0.037
0.888,-0.013
0.889,0.015
0.89,0.009
0.891,0.004
0.892,0
0.893,-0.004
0.894,-0.004
0.895,-0.003
0.896,0.001
0.897,0.005
0.898,0.008
0.899,0.007
0.9,0.027
0.901,0.029
0.902,0.041
0.903,0.04
0.904,0.027
0.905,0.02
0.906,0.008
0.907,0.025
0.908,0.029
0.909,0.034
0.91,0.038
0.911,0.04
0.912,0.034
0.913,0.01
0.914,0.004
0.915,0.012
0.916,0.008
0.917,0.021
0.918,0.058
0.919,0.051
0.92,0.045
0.921,0.071
0.922,0.07
0.923,0.059
0.924,0.045
0.925,0.027
0.926,0.029
0.927,0.041
0.928,0.04
0.929,0.033
0.93,0.044
0.931,0.045
0.932,0.036
0.933,0.03
0.934,0.004
0.935,-0.001
0.936,0.015
0.937,0.021
0.938,0.025
0.939,0.033
0.94,0.035
0.941,0.025
0.942,0.025
0.943,0.022
0.944,0.019
0.945,0.021
0.946,0.017
0.947,0.019
0.948,0.026
0.949,0.017
0.95,-0.021
0.951,-0.013
0.952,0.008
0.953,-0.011
0.954,-0.017
0.955,-0.028
0.956,-0.034
0.957,-0.028
0.958,-0.03
0.959,-0.034
0.96,-0.03
0.961,-0.034
0.962,-0.034
0.963,-0.033
0.964,-0.034
0.965,-0.032
0.966,-0.033
0.967,-0.048
0.968,-0.051
0.969,-0.041
0.97,-0.051
0.971,-0.059
0.972,-0.054
0.973,-0.059
0.974,-0.089
0.975,-0.098
0.976,-0.07
0.977,-0.059
0.978,-0.06
0.979,-0.042
0.98,-0.069
0.981,-0.098
0.982,-0.084
0.983,-0.069
0.984,-0.056
0.985,-0.081
0.986,-0.049
0.987,-0.033
0.988,-0.077
0.989,-0.091
0.99,-0.099
0.991,-0.098
0.992,-0.098
0.993,-0.091
0.994,-0.098
0.995,-0.098
0.996,-0.089
0.997,-0.086
0.998,-0.099
0.999,-0.113
1,-0.105
1.001,-0.108
1.002,-0.096
1.003,-0.092
1.004,-0.097
1.005,-0.093
1.006,-0.092
1.007,-0.105
1.008,-0.113
1.009,-0.109
1.01,-0.11
1.011,-0.103
1.012,-0.113
1.013,-0.118
1.014,-0.12
1.015,-0.126
1.016,-0.13
1.017,-0.135
1.018,-0.129
1.019,-0.112
1.02,-0.117
1.021,-0.126
1.022,-0.122
1.023,-0.126
1.024,-0.13
1.025,-0.118
1.026,-0.104
1.027,-0.124
1.028,-0.142
1.029,-0.13
1.03,-0.132
1.031,-0.133
1.032,-0.122
1.033,-0.153
1.034,-0.175
1.035,-0.172
1.036,-0.168
1.037,-0.175
1.038,-0.169
1.039,-0.146
1.04,-0.136
1.041,-0.145
1.042,-0.153
1.043,-0.148
1.044,-0.166
1.045,-0.162
1.046,-0.152
1.047,-0.166
1.048,-0.153
1.049,-0.131
1.05,-0.153
1.051,-0.173
1.052,-0.167
1.053,-0.155
1.054,-0.159
1.055,-0.174
1.056,-0.176
1.057,-0.162
1.058,-0.166
1.059,-0.174
1.06,-0.174
1.061,-0.172
1.062,-0.172
1.063,-0.175
1.064,-0.148
1.065,-0.143
1.066,-0.158
1.067,-0.161
1.068,-0.169
1.069,-0.172
1.07,-0.174
1.071,-0.172
1.072,-0.178
1.073,-0.182
1.074,-0.181
1.075,-0.184
1.076,-0.185
1.077,-0.171
1.078,-0.165
1.079,-0.175
1.08,-0.175
1.081,-0.172
1.082,-0.172
1.083,-0.179
1.084,-0.177
1.085,-0.168
1.086,-0.163
1.087,-0.151
1.088,-0.154
1.089,-0.169
1.09,-0.154
1.091,-0.165
1.092,-0.19
1.093,-0.189
1.094,-0.179
1.095,-0.17
1.096,-0.191
1.097,-0.183
1.098,-0.182
1.099,-0.185
1.1,-0.181
1.101,-0.196
1.102,-0.174
1.103,-0.177
1.104,-0.196
1.105,-0.197
1.106,-0.181
1.107,-0.18
1.108,-0.193
1.109,-0.185
1.11,-0.173
1.111,-0.159
1.112,-0.158
1.113,-0.169
1.114,-0.178
1.115,-0.191
1.116,-0.194
1.117,-0.181
1.118,-0.192
1.119,-0.193
1.12,-0.189
1.121,-0.183
1.122,-0.178
1.123,-0.186
1.124,-0.167
1.125,-0.146
1.126,-0.151
1.127,-0.171
1.128,-0.177
1.129,-0.177
1.13,-0.184
1.131,-0.166
1.132,-0.149
1.133,-0.169
1.134,-0.185
1.135,-0.185
1.136,-0.196
1.137,-0.188
1.138,-0.193
1.139,-0.202
1.14,-0.172
1.141,-0.162
1.142,-0.168
1.143,-0.172
1.144,-0.171
1.145,-0.16
1.146,-0.172
1.147,-0.193
1.148,-0.19
1.149,-0.19
1.15,-0.182
1.151,-0.174
1.152,-0.171
1.153,-0.175
1.154,-0.187
1.155,-0.173
1.156,-0.175
1.157,-0.176
1.158,-0.179
1.159,-0.195
1.16,-0.184
1.161,-0.174
1.162,-0.168
1.163,-0.169
1.164,-0.163
1.165,-0.182
1.166,-0.187
1.167,-0.167
1.168,-0.174
1.169,-0.184
1.17,-0.181
1.171,-0.164
1.172,-0.181
1.173,-0.186
1.174,-0.177
1.175,-0.177
1.176,-0.173
1.177,-0.163
1.178,-0.167
1.179,-0.18
1.18,-0.179
1.181,-0.169
1.182,-0.157
1.183,-0.181
1.184,-0.196
1.185,-0.189
1.186,-0.179
1.187,-0.178
1.188,-0.157
1.189,-0.162
1.19,-0.192
1.191,-0.186
1.192,-0.201
1.193,-0.181
1.194,-0.17
1.195,-0.182
1.196,-0.181
1.197,-0.178
1.198,-0.166
1.199,-0.161
1.2,-0.165
1.201,-0.165
1.202,-0.164
1.203,-0.155
1.204,-0.14
1.205,-0.152
1.206,-0.151
1.207,-0.149
1.208,-0.159
1.209,-0.157
1.21,-0.18
1.211,-0.17
1.212,-0.15
1.213,-0.178
1.214,-0.186
1.215,-0.174
1.216,-0.162
1.217,-0.157
1.218,-0.147
1.219,-0.16
1.22,-0.179
1.221,-0.167
1.222,-0.154
1.223,-0.151
1.224,-0.15
1.225,-0.144
1.226,-0.137
1.227,-0.141
1.228,-0.133
1.229,-0.126
1.23,-0.146
1.231,-0.142
1.232,-0.129
1.233,-0.129
1.234,-0.126
1.235,-0.124
1.236,-0.127
1.237,-0.122
1.238,-0.111
1.239,-0.132
1.24,-0.153
1.241,-0.127
1.242,-0.111
1.243,-0.126
1.244,-0.133
1.245,-0.133
1.246,-0.131
1.247,-0.111
1.248,-0.108
1.249,-0.131
1.25,-0.138
1.251,-0.141
1.252,-0.131
1.253,-0.131
1.254,-0.139
1.255,-0.127
1.256,-0.11
1.257,-0.104
1.258,-0.116
1.259,-0.115
1.26,-0.111
1.261,-0.105
1.262,-0.108
1.263,-0.112
1.264,-0.092
1.265,-0.101
1.266,-0.107
1.267,-0.111
1.268,-0.135
1.269,-0.129
1.27,-0.117
1.271,-0.149
1.272,-0.171
1.273,-0.166
1.274,-0.174
1.275,-0.184
1.276,-0.184
1.277,-0.185
1.278,-0.193
1.279,-0.192
1.28,-0.192
1.281,-0.191
1.282,-0.177
1.283,-0.178
1.284,-0.168
1.285,-0.154
1.286,-0.174
1.287,-0.201
1.288,-0.201
1.289,-0.196
1.29,-0.202
1.291,-0.207
1.292,-0.211
1.293,-0.215
1.294,-0.216
1.295,-0.211
1.296,-0.221
1.297,-0.207
1.298,-0.197
1.299,-0.209
1.3,-0.205
1.301,-0.207
1.302,-0.203
1.303,-0.211
1.304,-0.232
1.305,-0.198
1.306,-0.176
1.307,-0.188
1.308,-0.197
1.309,-0.211
1.31,-0.245
1.311,-0.24
1.312,-0.174
1.313,-0.167
1.314,-0.201
1.315,-0.196
1.316,-0.197
1.317,-0.209
1.318,-0.202
1.319,-0.199
1.32,-0.195
1.321,-0.194
1.322,-0.197
1.323,-0.194
1.324,-0.191
1.325,-0.179
1.326,-0.178
1.327,-0.167
1.328,-0.166
1.329,-0.179
1.33,-0.172
1.331,-0.199
1.332,-0.223
1.333,-0.209
1.334,-0.191
1.335,-0.191
1.336,-0.2
1.337,-0.2
1.338,-0.195
1.339,-0.197
1.34,-0.21
1.341,-0.212
1.342,-0.211
1.343,-0.217
1.344,-0.228
1.345,-0.233
1.346,-0.238
1.347,-0.261
1.348,-0.272
1.349,-0.287
1.35,-0.307
1.351,-0.322
1.352,-0.344
1.353,-0.367
1.354,-0.378
1.355,-0.384
1.356,-0.397
1.357,-0.39
1.358,-0.378
1.359,-0.377
1.36,-0.365
1.361,-0.347
1.362,-0.324
1.363,-0.305
1.364,-0.282
1.365,-0.249
1.366,-0.217
1.367,-0.182
1.368,-0.147
1.369,-0.122
1.37,-0.094
1.371,-0.058
1.372,-0.018
1.373,0.033
1.374,0.087
1.375,0.133
1.376,0.182
1.377,0.229
1.378,0.267
1.379,0.3
1.38,0.283
1.381,0.274
1.382,0.302
1.383,0.317
1.384,0.338
1.385,0.362
1.386,0.354
1.387,0.335
1.388,0.327
1.389,0.272
1.39,0.213
1.391,0.202
1.392,0.195
1.393,0.162
1.394,0.119
1.395,0.104
1.396,0.114
1.397,0.152
1.398,0.163
1.399,0.143
1.4,0.13
1.401,0.121
1.402,0.11
1.403,0.095
1.404,0.096
1.405,0.073
1.406,0.036
1.407,0.014
1.408,0.002
1.409,-0.019
1.41,-0.037
1.411,-0.055
1.412,-0.073
1.413,-0.102
1.414,-0.131
1.415,-0.145
1.416,-0.175
1.417,-0.211
1.418,-0.232
1.419,-0.235
1.42,-0.271
1.421,-0.313
1.422,-0.338
1.423,-0.332
1.424,-0.333
1.425,-0.353
1.426,-0.361
1.427,-0.424
1.428,-0.485
1.429,-0.5
1.43,-0.492
1.431,-0.507
1.432,-0.517
1.433,-0.544
1.434,-0.577
1.435,-0.557
1.436,-0.57
1.437,-0.593
1.438,-0.609
1.439,-0.608
1.44,-0.607
1.441,-0.61
1.442,-0.619
1.443,-0.625
1.444,-0.613
1.445,-0.617
1.446,-0.602
1.447,-0.605
1.448,-0.613
1.449,-0.588
1.45,-0.577
1.451,-0.559
1.452,-0.541
1.453,-0.523
1.454,-0.5
1.455,-0.481
1.456,-0.459
1.457,-0.432
1.458,-0.418
1.459,-0.406
1.46,-0.382
1.461,-0.358
1.462,-0.337
1.463,-0.321
1.464,-0.308
1.465,-0.3
1.466,-0.285
1.467,-0.271
1.468,-0.263
1.469,-0.246
1.47,-0.241
1.471,-0.242
1.472,-0.242
1.473,-0.238
1.474,-0.241
1.475,-0.244
1.476,-0.226
1.477,-0.237
1.478,-0.242
1.479,-0.232
1.48,-0.231
1.481,-0.227
1.482,-0.201
1.483,-0.18
1.484,-0.202
1.485,-0.208
1.486,-0.229
1.487,-0.229
1.488,-0.191
1.489,-0.204
1.49,-0.215
1.491,-0.218
1.492,-0.22
1.493,-0.202
1.494,-0.206
1.495,-0.203
1.496,-0.203
1.497,-0.218
1.498,-0.22
1.499,-0.212
1.5,-0.216
1.501,-0.235
1.502,-0.222
1.503,-0.2
1.504,-0.199
1.505,-0.206
1.506,-0.21
1.507,-0.213
1.508,-0.21
1.509,-0.203
1.51,-0.207
1.511,-0.216
1.512,-0.223
1.513,-0.224
1.514,-0.22
1.515,-0.229
1.516,-0.223
1.517,-0.211
1.518,-0.218
1.519,-0.227
1.52,-0.23
1.521,-0.22
1.522,-0.206
1.523,-0.183
1.524,-0.194
1.525,-0.206
1.526,-0.216
1.527,-0.222
1.528,-0.196
1.529,-0.211
1.53,-0.21
1.531,-0.206
1.532,-0.209
1.533,-0.189
1.534,-0.201
1.535,-0.22
1.536,-0.214
1.537,-0.216
1.538,-0.224
1.539,-0.212
1.54,-0.21
1.541,-0.217
1.542,-0.224
1.543,-0.2
1.544,-0.172
1.545,-0.181
1.546,-0.194
1.547,-0.201
1.548,-0.2
1.549,-0.199
1.55,-0.197
1.551,-0.197
1.552,-0.199
1.553,-0.199
1.554,-0.206
1.555,-0.222
1.556,-0.213
1.557,-0.202
1.558,-0.204
1.559,-0.197
1.56,-0.197
1.561,-0.199
1.562,-0.194
1.563,-0.189
1.564,-0.191
1.565,-0.188
1.566,-0.185
1.567,-0.184
1.568,-0.179
1.569,-0.182
